serialNum,property,name,index,lat,lon
443,ФГБУ Северное УГМС,УСТЬ-ЩУГОР,23518,64.27,57.62
5078,ФГБУ Якутское УГМС,УСТЬ-ЮДОМА,31054,59.18,135.15
444,ФГБУ Северное УГМС,УСТЮЖНА,27106,58.83222222,36.46333333
4587,ФГБУ Забайкальское УГМС,УСУГЛИ,30764,52.65,115.17
2340,ФГБУ Северо-Кавказское УГМС,УТТА,34871,46.36666667,46.01666667
2188,ФГБУ Башкирское УГМС,УЧАЛЫ,28736,54.36,59.43
3462,ФГБУ Западно-Сибирское УГМС,Учебная,29637,54.58,82.54
6122,ФГБУ Якутское УГМС,УЧУР,31026,58.73,130.62
4593,ФГБУ Забайкальское УГМС,УЮ,30456,55.58,114.5
3762,ФГБУ Среднесибирское УГМС,УЯР - Р.УЯРКА,29576,55.8,94.3333
1637,ФГБУ Верхне-Волжское УГМС,ФАЛЕНКИ,28202,58.35,51.57
184,ФГБУ Центрально-Черноземное УГМС,ФАТЕЖ,34005,52.08,35.87
6071,ФГБУ Дальневосточное УГМС,ФЕВРАЛЬСК - р. Бысса,31397,52.45,130.87
2189,ФГБУ Башкирское УГМС,ФЕДОРОВКА,28826,53.16,55.18
2341,ФГБУ Северо-Кавказское УГМС,ФРОЛОВО,34356,49.8,43.66666667
5079,ФГБУ Якутское УГМС,ХАБАРДИНО,24525,64.6,112.52
3501,ФГБУ Западно-Сибирское УГМС,Хабары,29816,53.37,79.33
4846,ФГБУ Иркутское УГМС,ХАДАМА,29892,53.95,98.81
2871,ФГБУ Обь-Иртышское УГМС,ХАЛЯСАВЭЙ - Р.ЕРКАЛ-НАДЕЙ-ПУР,23656,63.38416667,78.32361111
4847,ФГБУ Иркутское УГМС,ХАМАКАР,24718,62.17,108.22
4848,ФГБУ Иркутское УГМС,ХАМАР-ДАБАН,30815,51.53,103.6
4611,ФГБУ Забайкальское УГМС,ХАМНИГАДАЙСКАЯ,30929,50.12,107.45
34539,ФГБУ Обь-Иртышское УГМС,Ханты-Мансийск М-II,23933,61.02833333,69.11805556
2342,ФГБУ Северо-Кавказское УГМС,"ХАРАБАЛИ - р. Bолга, рук. Ашулук",34687,47.4,47.25
2364,ФГБУ Северо-Кавказское УГМС,ХАСАВЮРТ,37248,43.25,46.58333333
5080,ФГБУ Якутское УГМС,ХАТЫРЫК-ХОМО,24643,63.95,124.83
1906,ФГБУ Приволжское УГМС,ХВАЛЫНСК,34083,52.5,48.08
4594,ФГБУ Забайкальское УГМС,ХИЛОК,30844,51.37,110.47
3763,ФГБУ Среднесибирское УГМС,ХОВУ-АКСЫ - Р.ЭЛЕГЕСТ,36090,51.1167,93.8333
789,ФГБУ Северо-Западное УГМС,ХОЛМ - Р.ЛОBАТЬ,26378,57.15,31.18
446,ФГБУ Северное УГМС,ХОЛМОГОРЫ,22559,64.22388889,41.64666667
447,ФГБУ Северное УГМС,ХОРЕЙ ВЕР,23215,67.42083333,58.04444444
4614,ФГБУ Забайкальское УГМС,ХОРИНСК,30739,52.17,109.78
5573,ФГБУ Приморское УГМС,ХОРОЛЬ,31924,44.26,132.04
4849,ФГБУ Иркутское УГМС,ХУЖИР,30629,53.2,107.33
4375,ФГБУ Дальневосточное УГМС,ХУЛАРИН,31484,51.42,135.08
2745,ФГБУ Северо-Кавказское УГМС,ХУНЗАХ,37369,42.57,46.7
4596,ФГБУ Забайкальское УГМС,ЦАКИР,30915,50.43,103.6
3102,ФГБУ Уральское УГМС,ЦЕЛИННОЕ,28752,54.5,63.67
3502,ФГБУ Западно-Сибирское УГМС,Целинное,29941,53.05,85.37
3463,ФГБУ Западно-Сибирское УГМС,Центральный Рудник,29654,55.12,87.39
6067,ФГБУ Дальневосточное УГМС,ЦИММЕРМАНОВКА - Р.АМУР,31504,51.33,139.28
3764,ФГБУ Среднесибирское УГМС,ЧАДАН,36087,51.2833,91.5833
3113,ФГБУ Уральское УГМС,ЧАЙКОВСКИЙ,28413,56.75,54.08
3464,ФГБУ Западно-Сибирское УГМС,Чаны,29602,55.19,76.45
449,ФГБУ Северное УГМС,ЧАРОЗЕРО,22944,60.47,38.62
3465,ФГБУ Западно-Сибирское УГМС,Чарышское,36047,51.23,83.35
5537,ФГБУ Чукотское УГМС,ЧАУН,25151,68.88,170.78
1652,ФГБУ Верхне-Волжское УГМС,ЧЕБОКСАРЫ,27581,56.08,47.33
6092,ФГБУ Дальневосточное УГМС,ЧЕГДОМЫН,31469,51.17,132.95
1907,ФГБУ Приволжское УГМС,ЧЕЛНО-ВЕРШИНЫ,28705,54.42,51.1
3103,ФГБУ Уральское УГМС,ЧЕЛЯБИНСК-ГОРОД,28645,55.15,61.3
3466,ФГБУ Западно-Сибирское УГМС,Чемал,36058,51.23,86.01
3765,ФГБУ Среднесибирское УГМС,ЧЕМДАЛЬСК - Р.ПОДКАМЕННАЯ ТУНГУСКА,30014,59.6333,103.32
5313,ФГБУ Камчатское УГМС,ЧЕМУРНАУТ,25941,60.73,163.02
4850,ФГБУ Иркутское УГМС,ЧЕРВЯНКА,29393,57.65,99.53
3104,ФГБУ Уральское УГМС,ЧЕРДЫНЬ,23914,60.4,56.52
4598,ФГБУ Забайкальское УГМС,ЧЕРЕМХОВО,30944,50.58,110.15
6121,ФГБУ Иркутское УГМС,ЧЕРЕМХОВО,30617,53.18,103.03
2343,ФГБУ Северо-Кавказское УГМС,ЧЕРКЕССК,37047,44.21666667,42.01666667
2872,ФГБУ Обь-Иртышское УГМС,ЧЕРЛАК - Р.ИРТЫШ,28799,54.15666667,74.81527778
3114,ФГБУ Уральское УГМС,ЧЕРМОЗ,28128,58.77,56.2
3105,ФГБУ Уральское УГМС,ЧЕРНУШКА,28428,56.5,56.13
2344,ФГБУ Северо-Кавказское УГМС,ЧЕРНЫЙ ЯР - р. Bолга,34578,48.06666667,46.11666667
4600,ФГБУ Забайкальское УГМС,ЧЕРНЫШЕВСК,30766,52.53,117
4376,ФГБУ Дальневосточное УГМС,ЧЕРНЯЕВО - Р.АМУР,31371,52.78936111,126.0032222
796,ФГБУ Северо-Западное УГМС,ЧЕРНЯХОВСК,26711,54.63,21.8
2345,ФГБУ Северо-Кавказское УГМС,ЧЕРТКОВО,34432,49.38333333,40.16666667
291,ФГБУ Центральное УГМС,ЧЕРУСТИ,27538,55.55,40.02
6046,ФГБУ Иркутское УГМС,ЧЕЧУЙСК,30138,58.1,108.68
3467,ФГБУ Западно-Сибирское УГМС,Чистоозерное,29702,54.42,76.34
2788,ФГБУ УГМС Республики Татарстан,ЧИСТОПОЛЬ,28602,55.32333611,50.65333333
2190,ФГБУ Башкирское УГМС,ЧИШМЫ,28721,54.58944444,55.42972222
