index,h,q
72004,NA,10
72007,NA,10
72008,NA,10
7202,NA,10
7203,NA,10
72039,NA,10
72043,NA,10
72055,NA,10
72064,NA,10
72076,NA,10
72083,NA,10
72090,NA,10
72095,NA,10
72096,NA,10
72098,NA,10
72102,NA,10
72104,NA,10
72106,NA,10
72109,NA,10
72110,NA,10
72113,NA,10
72130,NA,10
72142,NA,10
72144,NA,10
72145,NA,6
72148,NA,10
72154,NA,7
72155,NA,10
72156,NA,10
72158,NA,6
72162,NA,10
72172,NA,10
72173,NA,8
72179,NA,10
72188,NA,10
72191,NA,10
72192,NA,10
72198,NA,10
72227,NA,8
72239,NA,10
72246,NA,10
72269,NA,10
72281,NA,10
72285,NA,10
72327,NA,10
72366,NA,10
72423,NA,10
72427,NA,10
72450,NA,10
72454,NA,10
72459,NA,10
72467,NA,1
72477,NA,1
72478,NA,10
72481,NA,10
72502,NA,10
72504,NA,10
72508,NA,10
72510,NA,3
72518,NA,10
72519,NA,10
72523,NA,5
72552,NA,10
72559,NA,10
72566,NA,10
72569,NA,10
72577,NA,10
72584,NA,6
72585,NA,10
72588,NA,10
72590,NA,6
72592,NA,10
72601,NA,6
72603,NA,10
72610,NA,10
72617,NA,10
72623,NA,10
72625,NA,10
72641,NA,1
72649,NA,10
72654,NA,10
72660,NA,10
72661,NA,10
72668,NA,10
72680,NA,1
72682,NA,10
72696,NA,10
72697,NA,6
72716,NA,10
72721,NA,10
72727,NA,2
72729,NA,10
72731,NA,10
72738,NA,10
72739,NA,10
72740,NA,1
72744,NA,10
72745,NA,10
72748,NA,10
72751,NA,1
72752,NA,10
72753,NA,10
72760,NA,10
72761,NA,10
72762,NA,6
72763,NA,5
72818,NA,10
73110,NA,10
73186,NA,10
73190,NA,10
73208,NA,1
74362,NA,10
74410,NA,10
74412,NA,6
74413,NA,10
74416,NA,10
74422,NA,10
74425,NA,10
74428,NA,10
74431,NA,10
74434,NA,10
74438,NA,10
74443,NA,6
74804,NA,10
75006,NA,10
75033,NA,10
75058,NA,10
75074,NA,10
75079,NA,10
75106,NA,10
75108,NA,10
75110,NA,10
75111,NA,10
75119,NA,10
75121,NA,10
