"index";"serialNum";"class";"property";"name";"lat";"lon";"f"
79011;1314;1;"ФГБУ Центральное УГМС";"СМОЛЕНСК - Р.ДНЕПР";54.97;32.07;14100
79051;1033;1;"ФГБУ Центральное УГМС";"СТАРАЯ - Р.BЯЗЬМА";55.18;34.31;580
79244;1052;1;"ФГБУ Центральное УГМС";"УСКОСЫ - Р.СОЖ";54.15;32.06;2600
79261;932;1;"ФГБУ Центральное УГМС";"КРАСИЛОВКА - Р.ХМАРА";54.35;32.63;534
79315;228;2;"ФГБУ Центрально-Черноземное УГМС";"КРУТОЯР - Р.ИПУТЬ";53.23;32.63;3930
79324;264;1;"ФГБУ Центрально-Черноземное УГМС";"УЩЕРПЬЕ - Р.ИПУТЬ";52.72;31.9;8210
79335;233;1;"ФГБУ Центрально-Черноземное УГМС";"ЛОПАТНИ - Р.УНЕЧА";52.83;32.13;1180
80113;210;1;"ФГБУ Центрально-Черноземное УГМС";"ГОЛУБЕЯ - Р.ДЕСНА";53.62;33.67;4770
80148;253;1;"ФГБУ Центрально-Черноземное УГМС";"ПСУРЬ - Р.БОЛBА";53.68;34.48;3210
80160;255;1;"ФГБУ Центрально-Черноземное УГМС";"РАДОГОЩЬ - Р.НЕРУССА";52.51;34.81;1020
80165;398;1;"ФГБУ Центрально-Черноземное УГМС";"НОВОЯМСКОЕ - Р.СЕВ";52.2;34.48;1150
80172;250;1;"ФГБУ Центрально-Черноземное УГМС";"ПОГАР - Р.СУДОСТЬ";52.55;33.28;5180
80174;209;1;"ФГБУ Центрально-Черноземное УГМС";"ГЛАЗОВО - Р.КОСТА";53.05;33.25;150
80196;221;1;"ФГБУ Центрально-Черноземное УГМС";"ЗУЕВКА - Р.СЕЙМ";51.42;36.8;2320
80197;232;1;"ФГБУ Центрально-Черноземное УГМС";"ЛЕБЯЖЬЕ - Р.СЕЙМ";51.68;36.28;4870
80198;258;1;"ФГБУ Центрально-Черноземное УГМС";"РЫШКОВО - Р.СЕЙМ";51.68;36.15;7460
80218;205;1;"ФГБУ Центрально-Черноземное УГМС";"БЕСЕДИНО - Р.РАТЬ";51.72;36.47;630
80220;259;1;"ФГБУ Центрально-Черноземное УГМС";"СВОБОДА - Р.ТУСКАРЬ";51.97;36.32;1690
80224;270;1;"ФГБУ Центрально-Черноземное УГМС";"ЩУРОВО - Р.СНОBА";52.08;36.35;781
80230;235;1;"ФГБУ Центрально-Черноземное УГМС";"ЛЮБИЦКАЯ - Р.РЕУТ";51.58;35.55;960
80236;275;1;"ФГБУ Центрально-Черноземное УГМС";"СТАРЫЙ ГОРОД - Р.СBАПА";52.13;35.08;3690
